Token: /, Position: -1 -1, Type: OPERATOR
Token: /, Position: -1 -1, Type: OPERATOR
Token: /, Position: -1 -1, Type: OPERATOR
Token: /, Position: -1 -1, Type: OPERATOR
Token: IDENTIFIER, Position: 2 0, Type: IDENTIFIER
Token: declare, Position: -1 -1, Type: RESERVED_WORD
Token: integer, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 6 0, Type: IDENTIFIER
Token: IDENTIFIER, Position: 6 0, Type: IDENTIFIER
Token: =, Position: -1 -1, Type: OPERATOR
Token: integer, Position: -1 -1, Type: RESERVED_WORD
Token: (, Position: -1 -1, Type: SEPARATOR
Token: input, Position: -1 -1, Type: RESERVED_WORD
Token: (, Position: -1 -1, Type: SEPARATOR
Token: STRING_CONSTANT, Position: 0 0, Type: STRING_CONSTANT
Token: ), Position: -1 -1, Type: SEPARATOR
Token: ), Position: -1 -1, Type: SEPARATOR
Token: declare, Position: -1 -1, Type: RESERVED_WORD
Token: integer, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 0 0, Type: IDENTIFIER
Token: declare, Position: -1 -1, Type: RESERVED_WORD
Token: integer, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 0 1, Type: IDENTIFIER
Token: IDENTIFIER, Position: 0 1, Type: IDENTIFIER
Token: =, Position: -1 -1, Type: OPERATOR
Token: INTEGER_CONSTANT, Position: 1 0, Type: INTEGER_CONSTANT
Token: IDENTIFIER, Position: 0 0, Type: IDENTIFIER
Token: =, Position: -1 -1, Type: OPERATOR
Token: INTEGER_CONSTANT, Position: 2 0, Type: INTEGER_CONSTANT
Token: if, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 6 0, Type: IDENTIFIER
Token: >, Position: -1 -1, Type: OPERATOR
Token: INTEGER_CONSTANT, Position: 1 0, Type: INTEGER_CONSTANT
Token: :, Position: -1 -1, Type: SEPARATOR
Token: loop, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 0 0, Type: IDENTIFIER
Token: to, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 6 0, Type: IDENTIFIER
Token: /, Position: -1 -1, Type: OPERATOR
Token: INTEGER_CONSTANT, Position: 2 0, Type: INTEGER_CONSTANT
Token: by, Position: -1 -1, Type: RESERVED_WORD
Token: INTEGER_CONSTANT, Position: 1 0, Type: INTEGER_CONSTANT
Token: :, Position: -1 -1, Type: SEPARATOR
Token: if, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 6 0, Type: IDENTIFIER
Token: %, Position: -1 -1, Type: OPERATOR
Token: IDENTIFIER, Position: 0 0, Type: IDENTIFIER
Token: :, Position: -1 -1, Type: SEPARATOR
Token: IDENTIFIER, Position: 0 1, Type: IDENTIFIER
Token: =, Position: -1 -1, Type: OPERATOR
Token: INTEGER_CONSTANT, Position: 0 0, Type: INTEGER_CONSTANT
Token: break, Position: -1 -1, Type: RESERVED_WORD
Token: if, Position: -1 -1, Type: RESERVED_WORD
Token: IDENTIFIER, Position: 0 1, Type: IDENTIFIER
Token: ==, Position: -1 -1, Type: OPERATOR
Token: INTEGER_CONSTANT, Position: 0 0, Type: INTEGER_CONSTANT
Token: :, Position: -1 -1, Type: SEPARATOR
Token: print, Position: -1 -1, Type: RESERVED_WORD
Token: (, Position: -1 -1, Type: SEPARATOR
Token: STRING_CONSTANT, Position: 4 0, Type: STRING_CONSTANT
Token: ), Position: -1 -1, Type: SEPARATOR
Token: else, Position: -1 -1, Type: RESERVED_WORD
Token: :, Position: -1 -1, Type: SEPARATOR
Token: print, Position: -1 -1, Type: RESERVED_WORD
Token: (, Position: -1 -1, Type: SEPARATOR
Token: STRING_CONSTANT, Position: 9 0, Type: STRING_CONSTANT
Token: ), Position: -1 -1, Type: SEPARATOR
Token: else, Position: -1 -1, Type: RESERVED_WORD
Token: :, Position: -1 -1, Type: SEPARATOR
Token: print, Position: -1 -1, Type: RESERVED_WORD
Token: (, Position: -1 -1, Type: SEPARATOR
Token: STRING_CONSTANT, Position: 4 0, Type: STRING_CONSTANT
Token: ), Position: -1 -1, Type: SEPARATOR
